book,chapter,verse,wlc,kjv,goi,decision,reason,edited
NEH,5,13,גַּם חָצְנִ֣י נָעַ֗רְתִּי וָֽאֹמְרָ֡ה כָּ֣כָה יְנַעֵ֪ר הָֽאֱלֹהִ֟ים אֶת כָּל הָאִישׁ֩ אֲשֶׁ֨ר לֹֽא יָקִ֜ים אֶת הַדָּבָ֣ר הַזֶּ֗ה מִבֵּיתוֹ֙ וּמִ֣יגִיע֔וֹ וְכָ֛כָה יִהְיֶ֥ה נָע֖וּר וָרֵ֑ק וַיֹּאמְר֨וּ כָֽל הַקָּהָ֜ל אָמֵ֗ן וַֽיְהַלְלוּ֙ אֶת יְהוָ֔ה וַיַּ֥עַשׂ הָעָ֖ם כַּדָּבָ֥ר הַזֶּֽה,"Also I shook my lap, and said, So God shake out every man from his house, and from his labour, that performeth not this promise, even thus be he shaken out, and emptied. And all the congregation said, Amen, and praised the LORD. And the people did according to this promise.","Also I shook my lap as I said, Thus may God do to the man who does not uphold this word, from his house and from his labor; so may he be emptied and laid waste. And all the people said, Amen, and praised the LORD, and the people did according to this word.",no_edit,"False positive / oath formula: WLC's 'thus may God do' (3rd person, 'כָּ֣כָה יְנַעֵ֪ר הָֽאֱלֹהִ֟ים') and 'praised the LORD' (correct 3rd-person narrative praise) are not vocative address. Matched via substring 'o God' in 'do God'.",
NEH,6,9,כִּ֣י כֻלָּ֗ם מְיָֽרְאִ֤ים אוֹתָ֨נוּ֙ לֵאמֹ֔ר יִרְפּ֧וּ יְדֵיהֶ֛ם מִן הַמְּלָאכָ֖ה וְלֹ֣א תֵעָשֶׂ֑ה וְעַתָּ֖ה חַזֵּ֥ק אֶת יָדָֽי,"For they all made us afraid, saying, Their hands shall be weakened from the work, that it be not done. Now therefore, [O God], strengthen my hands.","For they are all afraid of us, saying, Their hands will be weakened from the work so that it will not be done; but now strengthen my hands.",no_edit,"WLC itself has no word for God/LORD in this clause (וְעַתָּ֖ה חַזֵּ֥ק אֶת יָדָֽי, 'and now strengthen my hands') — KJV's '[O God]' is its own bracketed interpretive supply, not present in the Hebrew. Per WLC-as-authority, GOI's omission is the more faithful rendering; inserting a word absent from WLC would not be correct.",
NUM,16,22,וַיִּפְּל֤וּ עַל פְּנֵיהֶם֙ וַיֹּ֣אמְר֔וּ אֵ֕ל אֱלֹהֵ֥י הָרוּחֹ֖ת לְכָל בָּשָׂ֑ר הָאִ֤ישׁ אֶחָד֙ יֶחֱטָ֔א וְעַ֥ל כָּל הָעֵדָ֖ה תִּקְצֹֽף,"And they fell upon their faces, and said, O God, the God of the spirits of all flesh, shall one man sin, and wilt thou be wroth with all the congregation?","They fell on their faces and said, God, God of the spirits of all flesh, shall one man sin and upon all the congregation will You be angry?",no_edit,"GOI renders WLC's vocative as bare-name address ('God, God of the spirits of all flesh, ... will You be angry?'), consistent with convention, correct 2nd person. No edit needed.",
PSA,5,3,יְֽהוָ֗ה בֹּ֭קֶר תִּשְׁמַ֣ע קוֹלִ֑י בֹּ֥קֶר אֶֽעֱרָךְ לְ֝ךָ֗ וַאֲצַפֶּֽה,"My voice shalt thou hear in the morning, O LORD; in the morning will I direct [my prayer] unto thee, and will look up.","The LORD in the morning You will hear my voice, in the morning I will prepare [for] You and watch.",edit,"GOI's 'The LORD in the morning You will hear my voice' has no comma separating the vocative from the clause, reading as a run-on/garbled sentence, and contains a literal unresolved bracket artifact '[for]'. Needs the vocative set off and the bracket removed.","LORD, in the morning You will hear my voice; in the morning I will prepare for You and watch."
PSA,12,7,אַתָּֽה יְהוָ֥ה תִּשְׁמְרֵ֑ם תִּצְּרֶ֓נּוּ מִן הַדּ֖וֹר ז֣וּ לְעוֹלָֽם,"Thou shalt keep them, O LORD, thou shalt preserve them from this generation for ever.","You, the LORD, will keep them; You will preserve him from this generation forever.",no_edit,"GOI's 'You, the LORD, will keep them' has the pronoun 'You' immediately before the title in valid apposition (cf. Isa 63:16 pattern), not a flat 3rd-person description. No edit needed for the vocative issue (a separate them/him pronoun inconsistency here is out of scope for this task).",
PSA,19,14,יִֽהְי֥וּ לְרָצ֨וֹן אִמְרֵי פִ֡י וְהֶגְי֣וֹן לִבִּ֣י לְפָנֶ֑יךָ יְ֝הוָ֗ה צוּרִ֥י וְגֹאֲלִֽי,"Let the words of my mouth, and the meditation of my heart, be acceptable in thy sight, O LORD, my strength, and my redeemer.","May the words of my mouth and the meditation of my heart be acceptable before you, the LORD, my rock and my redeemer.",no_edit,"GOI's '...before you, the LORD, my rock and my redeemer' has the pronoun 'you' immediately before the title in valid apposition. No 'funny' reading.",
PSA,25,4,דְּרָכֶ֣יךָ יְ֭הוָה הוֹדִיעֵ֑נִי אֹ֖רְחוֹתֶ֣יךָ לַמְּדֵֽנִי,"Shew me thy ways, O LORD; teach me thy paths.","the LORD, make known to me your ways; teach me your paths.",edit,"GOI's 'the LORD, make known to me your ways' places the definite article directly before an imperative address with no resumptive pronoun in between — reads as an error (compare natural 'LORD, make known...' or KJV's 'O LORD').","LORD, make known to me your ways; teach me your paths."
PSA,25,7,חַטֹּ֤אות נְעוּרַ֨י וּפְשָׁעַ֗י אַל תִּ֫זְכֹּ֥ר כְּחַסְדְּךָ֥ זְכָר לִי אַ֑תָּה לְמַ֖עַן טוּבְךָ֣ יְהוָֽה,"Remember not the sins of my youth, nor my transgressions: according to thy mercy remember thou me for thy goodness’ sake, O LORD.","Do not remember the sins of my youth and my transgressions; according to your mercy remember me, for the sake of your goodness, the LORD.",edit,"GOI's '...for the sake of your goodness, the LORD.' tacks the title on as an end-tag with no adjacent pronoun, reading as a flat label rather than the address KJV/WLC intend.","Do not remember the sins of my youth and my transgressions; according to your mercy remember me, for the sake of your goodness, O LORD."
PSA,26,6,אֶרְחַ֣ץ בְּנִקָּי֣וֹן כַּפָּ֑י וַאֲסֹבְבָ֖ה אֶת מִזְבַּחֲךָ֣ יְהוָֽה,"I will wash mine hands in innocency: so will I compass thine altar, O LORD:","I will wash my hands in cleanness, and I will encircle your altar, the LORD.",edit,"GOI's '...and I will encircle your altar, the LORD.' tacks the title on as an end-tag with no adjacent pronoun, reading as a flat label rather than the address KJV/WLC intend.","I will wash my hands in cleanness, and I will encircle your altar, O LORD."
PSA,30,2,יְהוָ֥ה אֱלֹהָ֑י שִׁוַּ֥עְתִּי אֵ֝לֶ֗יךָ וַתִּרְפָּאֵֽנִי,"O LORD my God, I cried unto thee, and thou hast healed me.","The LORD my God, I cried to you and you healed me.",no_edit,"GOI's 'The LORD my God, I cried to you and you healed me' is a valid left-dislocation/vocative-then-resumptive-pronoun construction ('to you'), naturally acceptable in English (cf. 'My father, I miss you'). No edit needed.",
PSA,30,3,יְֽהוָ֗ה הֶֽעֱלִ֣יתָ מִן שְׁא֣וֹל נַפְשִׁ֑י חִ֝יִּיתַ֗נִי מיורדי בֽוֹר,"O LORD, thou hast brought up my soul from the grave: thou hast kept me alive, that I should not go down to the pit.","The LORD has brought up my soul from the grave; you have kept me alive, from going down to the pit.",edit,"GOI opens with a 3rd-person verb for the same referent it then addresses in 2nd person ('The LORD has brought up my soul... you have kept me alive') — a genuine person mismatch, same bug pattern as 1Ch 17:19/29:16, Jer 11:20/16:19/20:12.","LORD, you have brought up my soul from the grave; you have kept me alive, from going down to the pit."
PSA,30,12,לְמַ֤עַן יְזַמֶּרְךָ֣ כָ֭בוֹד וְלֹ֣א יִדֹּ֑ם יְהוָ֥ה אֱ֝לֹהַ֗י לְעוֹלָ֥ם אוֹדֶֽךָּ,"To the end that [my] glory may sing praise to thee, and not be silent. O LORD my God, I will give thanks unto thee for ever.","so that my glory may sing to you and not be silent, the LORD my God, forever I will praise you.",no_edit,"GOI's '...sing to you and not be silent, the LORD my God, forever I will praise you' is surrounded by 2nd-person 'you' on both sides — a valid mid-sentence apposition, not a flat description. No edit needed.",
PSA,31,1,לַמְנַצֵּ֗חַ מִזְמ֥וֹר לְדָוִֽד בְּךָ֖ יְהוָ֣ה חָ֭סִיתִי אַל אֵב֣וֹשָׁה לְעוֹלָ֑ם בְּצִדְקָתְךָ֥ פַלְּטֵֽנִי,"To the chief Musician, A Psalm of David. In thee, O LORD, do I put my trust; let me never be ashamed: deliver me in thy righteousness.","For the music director, a psalm of David. In you, the LORD, I have trusted; let me not be ashamed forever; in your justice, deliver me.",no_edit,"GOI's 'In you, the LORD, I have trusted' has the pronoun 'you' immediately before the title in valid apposition (cf. Psa 12:7, 19:14). No edit needed.",
PSA,31,14,וַאֲנִ֤י עָלֶ֣יךָ בָטַ֣חְתִּי יְהוָ֑ה אָ֝מַ֗רְתִּי אֱלֹהַ֥י אָֽתָּה,"But I trusted in thee, O LORD: I said, Thou [art] my God.","But I on you have relied, the LORD; I said, ""My God, you are.""",no_edit,"GOI's 'I on you have relied, the LORD' restates the title in apposition after the 2nd-person pronoun clause is complete, a valid construction (cf. Lam 3:55). No edit needed.",
PSA,35,1,לְדָוִ֨ד רִיבָ֣ה יְ֭הוָה אֶת יְרִיבַ֑י לְ֝חַ֗ם אֶת לֹֽחֲמָֽי,"[A Psalm] of David. Plead [my cause], O LORD, with them that strive with me: fight against them that fight against me.","For David. Jehovah, strive Thou with them that strive with me; fight Thou against them that fight against me.",no_edit,"GOI's 'Jehovah, strive Thou with them...' is bare-name address immediately followed by a resumptive 2nd-person imperative ('Thou'). No edit needed.",
PSA,36,5,יְ֭הוָה בְּהַשָּׁמַ֣יִם חַסְדֶּ֑ךָ אֱ֝מֽוּנָתְךָ֗ עַד שְׁחָקִֽים,"Thy mercy, O LORD, [is] in the heavens; [and] thy faithfulness [reacheth] unto the clouds.","The LORD, your steadfast love is in the heavens, your faithfulness reaches the skies.",no_edit,"GOI's 'The LORD, your steadfast love is in the heavens' has an immediate resumptive 2nd-person possessive ('your') right after the title — valid left-dislocation, not a flat description.",
PSA,40,9,בִּשַּׂ֤רְתִּי צֶ֨דֶק בְּקָ֘הָ֤ל רָ֗ב הִנֵּ֣ה שְׂ֭פָתַי לֹ֣א אֶכְלָ֑א יְ֝הוָ֗ה אַתָּ֥ה יָדָֽעְתָּ,"I have preached righteousness in the great congregation: lo, I have not refrained my lips, O LORD, thou knowest.","I have done justice in the great congregation; behold, my lips have not spoken falsely; the LORD, You know.",no_edit,"GOI's '...the LORD, You know' has an immediate resumptive 2nd-person pronoun ('You') right after the title. No edit needed.",
PSA,40,11,אַתָּ֤ה יְהוָ֗ה לֹא תִכְלָ֣א רַחֲמֶ֣יךָ מִמֶּ֑נִּי חַסְדְּךָ֥ וַ֝אֲמִתְּךָ֗ תָּמִ֥יד יִצְּרֽוּנִי,"Withhold not thou thy tender mercies from me, O LORD: let thy lovingkindness and thy truth continually preserve me.","You, the LORD, will not withhold your compassion from me; your kindness and your faithfulness will continually protect me.",no_edit,"GOI's 'You, the LORD, will not withhold...' has the pronoun 'You' immediately before the title in valid apposition. No edit needed.",
PSA,42,1,לַמְנַצֵּ֗חַ מַשְׂכִּ֥יל לִבְנֵי קֹֽרַח כְּאַיָּ֗ל תַּעֲרֹ֥ג עַל אֲפִֽיקֵי מָ֑יִם כֵּ֤ן נַפְשִׁ֨י תַעֲרֹ֖ג אֵלֶ֣יךָ אֱלֹהִֽים,"To the chief Musician, Maschil, for the sons of Korah. As the hart panteth after the water brooks, so panteth my soul after thee, O God.","For the music director, a Maschil of the sons of Korah. As a hart pants for channels of water, so my soul pants for you, God.",no_edit,"GOI's '...my soul pants for you, God' uses the pronoun 'you' immediately before bare 'God' (no article) at the end. No edit needed.",
PSA,44,1,לַמְנַצֵּ֬חַ לִבְנֵי קֹ֬רַח מַשְׂכִּֽיל אֱלֹהִ֤ים בְּאָזְנֵ֬ינוּ שָׁמַ֗עְנוּ אֲבוֹתֵ֥ינוּ סִפְּרוּ לָ֑נוּ פֹּ֥עַל פָּעַ֥לְתָּ בִֽ֝ימֵיהֶ֗ם בִּ֣ימֵי קֶֽדֶם,"To the chief Musician for the sons of Korah, Maschil. We have heard with our ears, O God, our fathers have told us, [what] work thou didst in their days, in the times of old.","For the music director; by the sons of Korah; a Maschil. God, we have heard with our ears—our ancestors have told us—your deeds you did in their days, in days of old.",no_edit,"GOI's 'God, we have heard...your deeds you did' is bare-name address (no article) with resumptive 2nd person. No edit needed.",
PSA,44,4,אַתָּה ה֣וּא מַלְכִּ֣י אֱלֹהִ֑ים צַ֝וֵּ֗ה יְשׁוּע֥וֹת יַעֲקֹֽב,"Thou art my King, O God: command deliverances for Jacob.","You are he, my king, God; command deliverances for Jacob.",no_edit,"GOI's 'You are he, my king, God; command deliverances...' is bare-name apposition (no article) following an established 2nd-person subject. No edit needed.",
PSA,44,23,ע֤וּרָה לָ֖מָּה תִישַׁ֥ן אֲדֹנָ֑י הָ֝קִ֗יצָה אַל תִּזְנַ֥ח לָנֶֽצַח,"Awake, why sleepest thou, O Lord? arise, cast [us] not off for ever.","Awake, why do You sleep, my Lord? Rouse Yourself; do not reject us forever.",no_edit,"GOI's 'why do You sleep, my Lord? Rouse Yourself...' is bare-name address (no article) amid consistent 2nd person. No edit needed.",
PSA,51,15,אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ,"O Lord, open thou my lips; and my mouth shall shew forth thy praise.","(my) Lord, open my lips, and my mouth will declare your praise.",edit,"GOI text contains a literal, unresolved '(my)' placeholder before 'Lord' — the same recurring data artifact as Deut 3:24, Amos 7:5, Jer 32:25, Isa 38:16 — not a deliberate rendering.","My Lord, open my lips, and my mouth will declare your praise."
PSA,54,1,לַמְנַצֵּ֥חַ בִּנְגִינֹ֗ת מַשְׂכִּ֥יל לְדָוִֽד אֱ֭לֹהִים בְּשִׁמְךָ֣ הוֹשִׁיעֵ֑נִי וּבִגְבוּרָתְךָ֥ תְדִינֵֽנִי,"To the chief Musician on Neginoth, Maschil, [A Psalm] of David, when the Ziphims came and said to Saul, Doth not David hide himself with us? Save me, O God, by thy name, and judge me by thy strength.","For the music director, with stringed instruments, a Maschil of David. God, by your name save me, and by your strength judge me.",no_edit,"GOI's 'God, by your name save me, and by your strength judge me' is bare-name imperative address (no article) with resumptive 'your'. No edit needed.",
PSA,54,2,בְּב֣וֹא הַ֭זִּיפִים וַיֹּאמְר֣וּ לְשָׁא֑וּל הֲלֹ֥א דָ֝וִ֗ד מִסְתַּתֵּ֥ר עִמָּֽנוּ אֱ֭לֹהִים שְׁמַ֣ע תְּפִלָּתִ֑י הַ֝אֲזִ֗ינָה לְאִמְרֵי פִֽי,"Hear my prayer, O God; give ear to the words of my mouth.","When the Ziphites came, they said to Saul, Is not David hiding with us? God, hear my prayer; attend to the words of my mouth.",no_edit,"GOI's 'God, hear my prayer; attend to the words of my mouth' is bare-name imperative address (no article). No edit needed.",
PSA,54,6,בִּנְדָבָ֥ה אֶזְבְּחָה לָּ֑ךְ א֤וֹדֶה שִּׁמְךָ֖ יְהוָ֣ה כִּי טֽוֹב,"I will freely sacrifice unto thee: I will praise thy name, O LORD; for [it is] good.","With a free-will offering I will sacrifice to you; I will give thanks to your name, the LORD, for it is good.",no_edit,"GOI's '...I will give thanks to your name, the LORD, for it is good' places the title in direct apposition to 'your name' (cf. Lam 3:55), not a flat 3rd-person description. No edit needed.",
PSA,55,9,בַּלַּ֣ע אֲ֭דֹנָי פַּלַּ֣ג לְשׁוֹנָ֑ם כִּֽי רָאִ֨יתִי חָמָ֖ס וְרִ֣יב בָּעִֽיר,"Destroy, O Lord, [and] divide their tongues: for I have seen violence and strife in the city.","O (my) Lord, divide their language, for I have seen violence and strife in the city.",edit,"GOI text doubles up two competing address markers — literal 'O' plus an unresolved '(my)' placeholder before 'Lord' ('O (my) Lord') — an artifact, not a deliberate rendering. Should read as a single clean vocative.","O Lord, divide their language, for I have seen violence and strife in the city."
PSA,57,5,ר֣וּמָה עַל הַשָּׁמַ֣יִם אֱלֹהִ֑ים עַ֖ל כָּל הָאָ֣רֶץ כְּבוֹדֶֽךָ,"Be thou exalted, O God, above the heavens; [let] thy glory [be] above all the earth.","Exalted be God over the heavens, your glory over all the earth.",no_edit,"GOI's 'Exalted be God over the heavens, your glory...' is bare-name address (no article) with resumptive 'your'. No edit needed.",
PSA,57,9,אוֹדְךָ֖ בָעַמִּ֥ים אֲדֹנָ֑י אֲ֝זַמֶּרְךָ֗ בַּל אֻמִּֽים,"I will praise thee, O Lord, among the people: I will sing unto thee among the nations.","I will give thanks to you among the folk, my Lord; I will sing praise to you among the nations.",no_edit,"GOI's '...among the folk, my Lord; I will sing praise to you...' is bare-name address (no article). No edit needed.",
PSA,58,6,אֱֽלֹהִ֗ים הֲרָס שִׁנֵּ֥ימוֹ בְּפִ֑ימוֹ מַלְתְּע֥וֹת כְּ֝פִירִ֗ים נְתֹ֣ץ יְהוָֽה,"Break their teeth, O God, in their mouth: break out the great teeth of the young lions, O LORD.","God, break the teeth in their mouth; the LORD shatter the great teeth of the young lions.",edit,"WLC has a 2nd-person imperative addressed to YHWH in both halves of the verse ('break... shatter', both addressed to YHWH). GOI keeps the vocative-imperative form for the first half ('God, break the teeth...') but shifts the second half into a bare 3rd-person subjunctive/jussive ('the LORD shatter...') — an inconsistent mood/person shift from the same imperative construction in WLC, not a deliberate rendering choice.","God, break the teeth in their mouth; LORD, shatter the great teeth of the young lions."
PSA,60,1,לַ֭מְנַצֵּחַ עַל שׁוּשַׁ֣ן עֵד֑וּת מִכְתָּ֖ם לְדָוִ֣ד לְלַמֵּֽד אֱ֭לֹהִים זְנַחְתָּ֣נוּ פְרַצְתָּ֑נוּ אָ֝נַ֗פְתָּ תְּשׁ֣וֹבֵ֥ב לָֽנוּ,"To the chief Musician upon Shushaneduth, Michtam of David, to teach; when he strove with Aramnaharaim and with Aramzobah, when Joab returned, and smote of Edom in the valley of salt twelve thousand. O God, thou hast cast us off, thou hast scattered us, thou hast been displeased; O turn thyself to us again.","For the director, upon Shushan-eduth, a Michtam of David, for teaching. God, you have rejected us, you have broken us open, you have been angry; turn back to us.",no_edit,"GOI's 'God, you have rejected us, you have broken us open...' is bare-name address (no article) with resumptive 'you'. No edit needed.",
PSA,61,5,כִּֽי אַתָּ֣ה אֱ֭לֹהִים שָׁמַ֣עְתָּ לִנְדָרָ֑י נָתַ֥תָּ יְ֝רֻשַּׁ֗ת יִרְאֵ֥י שְׁמֶֽךָ,"For thou, O God, hast heard my vows: thou hast given [me] the heritage of those that fear thy name.","For you, God, have heard my vows; you have given an inheritance to those who fear your name.",no_edit,"GOI's 'For you, God, have heard my vows...' uses the pronoun 'you' immediately before bare 'God' (no article) in valid apposition. No edit needed.",
PSA,62,12,וּלְךָֽ אֲדֹנָ֥י חָ֑סֶד כִּֽי אַתָּ֨ה תְשַׁלֵּ֖ם לְאִ֣ישׁ כְּֽמַעֲשֵֽׂהוּ,"Also unto thee, O Lord, [belongeth] mercy: for thou renderest to every man according to his work.","But to you, my Lord, is mercy, for you repay each man according to his deeds.",no_edit,"GOI's 'But to you, my Lord, is mercy...' uses the pronoun 'you' immediately before bare 'my Lord' in valid apposition. No edit needed.",
PSA,63,1,מִזְמ֥וֹר לְדָוִ֑ד בִּ֝הְיוֹת֗וֹ בְּמִדְבַּ֥ר יְהוּדָֽה אֱלֹהִ֤ים אֵלִ֥י אַתָּ֗ה אֲֽשַׁחֲ֫רֶ֥ךָּ צָמְאָ֬ה לְךָ֨ נַפְשִׁ֗י כָּמַ֣הּ לְךָ֣ בְשָׂרִ֑י בְּאֶֽרֶץ צִיָּ֖ה וְעָיֵ֣ף בְּלִי מָֽיִם,"A Psalm of David, when he was in the wilderness of Judah. O God, thou [art] my God; early will I seek thee: my soul thirsteth for thee, my flesh longeth for thee in a dry and thirsty land, where no water is;","A psalm of David when he was in the wilderness of Judah. God, You are my God, I thirst for You, my soul longs for You, my body yearns for You in a dry and weary land without water.",no_edit,"GOI's 'God, You are my God, I thirst for You...' is bare-name address (no article) with immediate resumptive 2nd person. No edit needed.",
PSA,66,10,כִּֽי בְחַנְתָּ֥נוּ אֱלֹהִ֑ים צְ֝רַפְתָּ֗נוּ כִּצְרָף כָּֽסֶף,"For thou, O God, hast proved us: thou hast tried us, as silver is tried.","For you have tested us, God, and refined us like silver.",no_edit,"GOI's 'For you have tested us, God, and refined us...' uses the pronoun 'you' immediately before bare 'God' (no article) — valid apposition.",
PSA,68,7,אֱֽלֹהִ֗ים בְּ֭צֵאתְךָ לִפְנֵ֣י עַמֶּ֑ךָ בְּצַעְדְּךָ֖ בִֽישִׁימ֣וֹן סֶֽלָה,"O God, when thou wentest forth before thy people, when thou didst march through the wilderness; Selah:","God, when you went out before your people, when you marched through the wilderness, Selah.",no_edit,"GOI's 'God, when you went out before your people...' is bare-name address (no article) with resumptive 'you'. No edit needed.",
PSA,68,35,נ֤וֹרָ֥א אֱלֹהִ֗ים מִֽמִּקְדָּ֫שֶׁ֥יךָ אֵ֤ל יִשְׂרָאֵ֗ל ה֤וּא נֹתֵ֨ן עֹ֖ז וְתַעֲצֻמ֥וֹת לָעָ֗ם בָּר֥וּךְ אֱלֹהִֽים,"O God, [thou art] terrible out of thy holy places: the God of Israel [is] he that giveth strength and power unto [his] people. Blessed [be] God.","The awesome God from your holy places, the God of Israel, he gives strength and power to the people; blessed be God.",no_edit,"WLC's opening clause has no explicit copula/vocative marker and the rest of the verse is unambiguously 3rd person ('he gives strength...blessed be God'). GOI's fully 3rd-person, non-vocative reading ('The awesome God from your holy places...he gives...') is a defensible literal rendering, not a person-mismatch — WLC (not KJV) is the authority for whether this is address at all.",
PSA,69,5,אֱֽלֹהִ֗ים אַתָּ֣ה יָ֭דַעְתָּ לְאִוַּלְתִּ֑י וְ֝אַשְׁמוֹתַ֗י מִמְּךָ֥ לֹא נִכְחָֽדוּ,"O God, thou knowest my foolishness; and my sins are not hid from thee.","God, You have known my folly, and my sins have not been hidden from You.",no_edit,"GOI's 'God, You have known my folly...' is bare-name address (no article) with resumptive 'You'. No edit needed.",
PSA,70,1,לַ֝מְנַצֵּ֗חַ לְדָוִ֥ד לְהַזְכִּֽיר אֱלֹהִ֥ים לְהַצִּילֵ֑נִי יְ֝הוָ֗ה לְעֶזְרָ֥תִי חֽוּשָֽׁה,"To the chief Musician, [A Psalm] of David, to bring to remembrance. [Make haste], O God, to deliver me; make haste to help me, O LORD.","For the choirmaster; of David; for commemoration. God, to deliver me; the LORD, make haste to my help.",edit,"GOI's second clause 'the LORD, make haste to my help' places the definite article directly before an imperative address with no resumptive pronoun — same error pattern as Psa 25:4.","God, to deliver me; LORD, make haste to my help."
PSA,71,12,אֱ֭לֹהִים אַל תִּרְחַ֣ק מִמֶּ֑נִּי אֱ֝לֹהַ֗י לְעֶזְרָ֥תִי חישה,"O God, be not far from me: O my God, make haste for my help.","God, do not be far from me; my God, hasten to my help.",no_edit,"GOI's 'God, do not be far from me; my God, hasten to my help' is bare-name address (no article) throughout. No edit needed.",
PSA,71,17,אֱֽלֹהִ֗ים לִמַּדְתַּ֥נִי מִנְּעוּרָ֑י וְעַד הֵ֝֗נָּה אַגִּ֥יד נִפְלְאוֹתֶֽיךָ,"O God, thou hast taught me from my youth: and hitherto have I declared thy wondrous works.","God has taught me from my youth, and even to this day I declare your wonders.",edit,"GOI opens with a 3rd-person verb for God ('God has taught me from my youth') then switches to 2nd-person possessive for the same referent ('your wonders') with no vocative marker bridging them — the same person-mismatch bug pattern as 1Ch 17:19/29:16, Jer 11:20/16:19/20:12/Psa 30:3.","O God, you have taught me from my youth, and even to this day I declare your wonders."
PSA,75,1,לַמְנַצֵּ֥חַ אַל תַּשְׁחֵ֑ת מִזְמ֖וֹר לְאָסָ֣ף שִֽׁיר ה֘וֹדִ֤ינוּ לְּךָ֨ אֱֽלֹהִ֗ים ה֭וֹדִינוּ וְקָר֣וֹב שְׁמֶ֑ךָ סִ֝פְּר֗וּ נִפְלְאוֹתֶֽיךָ,"To the chief Musician, Altaschith, A Psalm [or] Song of Asaph. Unto thee, O God, do we give thanks, [unto thee] do we give thanks: for [that] thy name is near thy wondrous works declare.","For the choirmaster; do not destroy; a psalm, a song of Asaph. We give thanks to you, God; we give thanks, and your name is near; they recount your wonders.",no_edit,"GOI's 'We give thanks to you, God...' uses the pronoun 'you' immediately before bare 'God' (no article) — valid apposition.",
PSA,76,6,מִ֭גַּעֲרָ֣תְךָ אֱלֹהֵ֣י יַעֲקֹ֑ב נִ֝רְדָּ֗ם וְרֶ֣כֶב וָסֽוּס,"At thy rebuke, O God of Jacob, both the chariot and horse are cast into a dead sleep.","At your rebuke, God of Jacob, they slumbered, both chariot and horse.",no_edit,"GOI's 'At your rebuke, God of Jacob, they slumbered...' uses the possessive 'your' immediately before bare 'God of Jacob' (no article) — valid apposition.",
PSA,77,13,אֱ֭לֹהִים בַּקֹּ֣דֶשׁ דַּרְכֶּ֑ךָ מִי אֵ֥ל גָּ֝ד֗וֹל כֵּֽאלֹהִֽים,"Thy way, O God, [is] in the sanctuary: who [is so] great a God as [our] God?",God in holiness is your way; who is a great God like our God?,edit,"GOI's word-for-word word order ('God in holiness is your way') garbles the equational clause WLC intends (God, [in holiness] is your way) into an ambiguous run-on. Needs the vocative set off for clarity, matching WLC's own word order.","God, your way is in holiness; who is a great God like our God?"
PSA,79,1,מִזְמ֗וֹר לְאָ֫סָ֥ף אֱֽלֹהִ֡ים בָּ֤אוּ גוֹיִ֨ם בְּֽנַחֲלָתֶ֗ךָ טִ֭מְּאוּ אֶת הֵיכַ֣ל קָדְשֶׁ֑ךָ שָׂ֖מוּ אֶת יְרוּשָׁלִַ֣ם לְעִיִּֽים,"A Psalm of Asaph. O God, the heathen are come into thine inheritance; thy holy temple have they defiled; they have laid Jerusalem on heaps.","A psalm of Asaph. God, nations have entered your inheritance, they have defiled your holy temple, they have made Jerusalem a heap.",no_edit,"GOI's 'God, nations have entered your inheritance...' is bare-name address (no article) with resumptive 'your'. No edit needed.",
PSA,79,12,וְהָ֘שֵׁ֤ב לִשְׁכֵנֵ֣ינוּ שִׁ֭בְעָתַיִם אֶל חֵיקָ֑ם חֶרְפָּ֘תָ֤ם אֲשֶׁ֖ר חֵרְפ֣וּךָ אֲדֹנָֽי,"And render unto our neighbours sevenfold into their bosom their reproach, wherewith they have reproached thee, O Lord.","And repay our neighbors sevenfold into their bosom the reproach with which they have reproached You, (my) Lord.",edit,"GOI text contains a literal, unresolved '(my)' placeholder before 'Lord' — the same recurring data artifact seen elsewhere (Deut 3:24, Amos 7:5, Jer 32:25, Isa 38:16, Psa 51:15).","And repay our neighbors sevenfold into their bosom the reproach with which they have reproached You, my Lord."
PSA,80,7,אֱלֹהִ֣ים צְבָא֣וֹת הֲשִׁיבֵ֑נוּ וְהָאֵ֥ר פָּ֝נֶ֗יךָ וְנִוָּשֵֽׁעָה,"Turn us again, O God of hosts, and cause thy face to shine; and we shall be saved.","God of hosts, restore us, and cause Your face to shine upon us, that we may be saved.",no_edit,"GOI's 'God of hosts, restore us, and cause Your face to shine...' is bare-name imperative address (no article). No edit needed.",
PSA,80,14,אֱלֹהִ֣ים צְבָאוֹת֮ שֽׁ֫וּב נָ֥א הַבֵּ֣ט מִשָּׁמַ֣יִם וּרְאֵ֑ה וּ֝פְקֹ֗ד גֶּ֣פֶן זֹֽאת,"Return, we beseech thee, O God of hosts: look down from heaven, and behold, and visit this vine;","God of hosts, return, we pray; look down from heaven and see, and visit this vine.",no_edit,"GOI's 'God of hosts, return, we pray...' is bare-name imperative address (no article). No edit needed.",
